epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,33182.4,0.54825,0.05758,0.17723,0.99361,0.97806,0.99413,0.85088,0.70742,0.06169,0.20191,0.0001486,0.0001486,0.0001486
88,33562.4,0.53315,0.05422,0.17506,0.99362,0.9764,0.9941,0.85127,0.70699,0.06121,0.20159,0.0001387,0.0001387,0.0001387
89,33942,0.53047,0.05484,0.17551,0.99522,0.97801,0.99439,0.85048,0.70695,0.06136,0.20141,0.0001288,0.0001288,0.0001288
90,34321.9,0.53379,0.05471,0.17702,0.99109,0.97649,0.99408,0.84958,0.70607,0.0615,0.20125,0.0001189,0.0001189,0.0001189
91,34701.9,0.52219,0.05386,0.17582,0.99047,0.97752,0.99409,0.84839,0.70511,0.06169,0.20109,0.000109,0.000109,0.000109
92,35081.8,0.52422,0.05365,0.17483,0.99046,0.97688,0.99412,0.85028,0.70573,0.06118,0.20096,9.91e-05,9.91e-05,9.91e-05
93,35461.7,0.5167,0.05315,0.17426,0.99256,0.97335,0.99412,0.84806,0.70527,0.06133,0.20076,8.92e-05,8.92e-05,8.92e-05
94,35840.9,0.50755,0.05122,0.1742,0.99348,0.97335,0.9941,0.8478,0.70461,0.06112,0.20062,7.93e-05,7.93e-05,7.93e-05
95,36220.7,0.49881,0.05162,0.173,0.99316,0.97335,0.9941,0.84874,0.70483,0.06146,0.20058,6.94e-05,6.94e-05,6.94e-05
96,36600.7,0.50685,0.05103,0.17432,0.99359,0.97236,0.99406,0.84857,0.70478,0.0615,0.20055,5.95e-05,5.95e-05,5.95e-05
97,36980.3,0.50014,0.05243,0.17303,0.98734,0.97769,0.99408,0.84918,0.70401,0.06135,0.20035,4.96e-05,4.96e-05,4.96e-05
98,37360,0.49147,0.04998,0.172,0.98575,0.97582,0.99401,0.84788,0.70406,0.06136,0.20033,3.97e-05,3.97e-05,3.97e-05
