color,date,pi,count
cnt,2024-08-22,8,37768
cnt,2024-08-23,3,47136
cnt,2024-08-23,8,46892
cnt,2024-08-24,3,47242
cnt,2024-08-24,8,47356
cnt,2024-08-25,3,46894
cnt,2024-08-25,8,47006
cnt,2024-08-26,3,46587
cnt,2024-08-26,8,47076
cnt,2024-08-27,3,15600
cnt,2024-08-27,8,43531
cnt,2024-08-28,3,35350
cnt,2024-08-28,8,35038
cnt,2024-08-29,3,47114
cnt,2024-08-29,8,47146
cnt,2024-08-30,3,23210
cnt,2024-08-30,8,15260
cnt,2024-09-03,2,32848
cnt,2024-09-03,9,31940
cnt,2024-09-04,2,47089
cnt,2024-09-04,9,47113
cnt,2024-09-05,2,43696
cnt,2024-09-05,9,43699
cnt,2024-09-06,2,37085
cnt,2024-09-06,9,37031
cnt,2024-09-07,2,37116
cnt,2024-09-07,9,37243
cnt,2024-09-08,2,20454
cnt,2024-09-08,9,23114
grn,2024-07-11,4,18246
grn,2024-07-11,9,7529
grn,2024-07-12,4,18139
grn,2024-07-12,9,17589
grn,2024-07-13,4,18179
grn,2024-07-13,9,17581
grn,2024-07-14,4,18268
grn,2024-07-14,9,16403
grn,2024-07-15,4,18380
grn,2024-07-15,9,17148
grn,2024-07-16,4,10792
grn,2024-07-16,9,16032
grn,2024-07-18,1,29082
grn,2024-07-18,9,19867
grn,2024-07-19,1,49693
grn,2024-07-19,9,49689
grn,2024-07-20,1,27193
grn,2024-07-20,9,44284
grn,2024-07-21,1,49706
grn,2024-07-21,9,49683
grn,2024-07-22,1,49698
grn,2024-07-22,9,49690
grn,2024-07-23,1,11174
grn,2024-07-23,9,26133
grn,2024-07-24,3,46407
grn,2024-07-24,6,46357
grn,2024-07-25,3,46391
grn,2024-07-25,6,46380
grn,2024-07-26,3,46387
grn,2024-07-26,6,46359
grn,2024-07-27,3,46280
grn,2024-07-27,6,46303
grn,2024-07-28,3,46362
grn,2024-07-28,6,46408
grn,2024-07-29,3,46411
grn,2024-07-29,6,25224
grn,2024-07-30,3,46342
grn,2024-07-30,6,4213
grn,2024-07-31,3,46347
grn,2024-08-01,3,40088
grn,2024-08-01,6,31367
grn,2024-08-02,3,47152
grn,2024-08-02,6,47189
grn,2024-08-03,3,47184
grn,2024-08-03,6,47340
grn,2024-08-04,3,46772
grn,2024-08-04,6,47106
grn,2024-08-05,3,20893
grn,2024-08-05,6,22901
grn,2024-08-06,3,47131
grn,2024-08-06,6,47202
grn,2024-08-07,3,30717
grn,2024-08-07,6,47245
grn,2024-08-08,3,47167
grn,2024-08-08,6,47090
grn,2024-08-09,3,47038
grn,2024-08-09,6,47075
grn,2024-08-10,3,47133
grn,2024-08-10,6,47298
grn,2024-08-11,3,44677
grn,2024-08-11,6,34611
grn,2024-08-12,3,418
grn,2024-08-12,6,1
grn,2024-08-13,6,47223
grn,2024-08-14,6,46780
grn,2024-08-15,1,10218
grn,2024-08-15,6,22844
grn,2024-08-15,9,8100
grn,2024-08-16,1,47406
grn,2024-08-16,9,47428
grn,2024-08-17,1,47401
grn,2024-08-17,9,47512
grn,2024-08-18,1,13919
grn,2024-08-19,1,14110
grn,2024-08-19,9,6890
grn,2024-08-20,1,47024
grn,2024-08-21,1,43005
grn,2024-08-22,1,7636
grn,2024-08-22,9,7140
grn,2024-08-23,1,47664
grn,2024-08-24,1,47583
grn,2024-08-25,1,46945
grn,2024-08-26,1,46828
grn,2024-08-27,1,38389
grn,2024-08-28,1,34426
grn,2024-08-28,9,35023
grn,2024-08-29,1,47330
grn,2024-08-29,9,47268
grn,2024-08-30,1,15400
grn,2024-08-30,9,29739
grn,2024-09-03,4,32471
grn,2024-09-03,6,32567
grn,2024-09-04,4,47089
grn,2024-09-04,6,47258
grn,2024-09-05,4,43721
grn,2024-09-05,6,43533
grn,2024-09-06,4,37061
grn,2024-09-06,6,36969
grn,2024-09-07,4,37267
grn,2024-09-07,6,37048
grn,2024-09-08,4,20482
grn,2024-09-08,6,4332
yel,2024-07-11,5,18456
yel,2024-07-11,7,18532
yel,2024-07-12,5,18560
yel,2024-07-12,7,18470
yel,2024-07-13,5,18392
yel,2024-07-13,7,18466
yel,2024-07-14,5,18692
yel,2024-07-14,7,18322
yel,2024-07-15,5,18448
yel,2024-07-16,5,18451
yel,2024-07-18,5,28567
yel,2024-07-18,6,29084
yel,2024-07-19,5,49681
yel,2024-07-19,6,49675
yel,2024-07-20,5,49715
yel,2024-07-20,6,42958
yel,2024-07-21,5,49727
yel,2024-07-21,6,49690
yel,2024-07-22,5,49738
yel,2024-07-22,6,49690
yel,2024-07-23,5,10950
yel,2024-07-23,6,21621
yel,2024-07-24,4,46387
yel,2024-07-24,8,46398
yel,2024-07-25,4,46392
yel,2024-07-25,8,46343
yel,2024-07-26,4,46381
yel,2024-07-26,8,46398
yel,2024-07-27,4,46219
yel,2024-07-27,8,46365
yel,2024-07-28,4,46381
yel,2024-07-28,8,46429
yel,2024-07-29,4,46398
yel,2024-07-29,8,36170
yel,2024-07-30,4,46371
yel,2024-07-30,8,46739
yel,2024-07-31,4,46395
yel,2024-07-31,8,46375
yel,2024-08-01,4,44706
yel,2024-08-01,8,46989
yel,2024-08-02,4,47256
yel,2024-08-02,8,47498
yel,2024-08-03,4,47355
yel,2024-08-03,8,47365
yel,2024-08-04,4,47146
yel,2024-08-04,8,46993
yel,2024-08-05,4,22339
yel,2024-08-05,8,26674
yel,2024-08-06,4,47315
yel,2024-08-06,8,47351
yel,2024-08-07,4,33395
yel,2024-08-07,8,47471
yel,2024-08-08,4,47130
yel,2024-08-08,8,47161
yel,2024-08-09,4,47074
yel,2024-08-09,8,47260
yel,2024-08-10,4,47310
yel,2024-08-10,8,47305
yel,2024-08-11,4,47292
yel,2024-08-11,8,19062
yel,2024-08-12,4,142
yel,2024-08-12,8,240
yel,2024-08-13,4,47048
yel,2024-08-14,4,47236
yel,2024-08-15,4,36923
yel,2024-08-15,5,9843
yel,2024-08-15,7,9450
yel,2024-08-16,5,47581
yel,2024-08-16,7,47594
yel,2024-08-17,5,33707
yel,2024-08-17,7,47886
yel,2024-08-18,7,18448
yel,2024-08-19,5,436
yel,2024-08-19,7,7170
yel,2024-08-20,7,47182
yel,2024-08-21,7,47703
yel,2024-08-22,5,773
yel,2024-08-22,7,35789
yel,2024-08-23,7,47791
yel,2024-08-24,7,47748
yel,2024-08-25,5,416
yel,2024-08-25,7,47340
yel,2024-08-26,7,47229
yel,2024-08-27,7,47482
yel,2024-08-28,7,36158
yel,2024-08-29,7,47623
yel,2024-08-30,7,42781
yel,2024-09-03,5,639
yel,2024-09-03,8,32391
yel,2024-09-04,8,47499
yel,2024-09-05,5,250
yel,2024-09-05,8,18835
