Relative:208		
615.483	61.22	
615.836	62.4	
616.189	61.96	
616.542	62.35	
616.895	62.5	
617.247	62.43	
617.6	61.09	
617.953	61.54	
618.306	62.49	
618.658	60.53	
619.011	62.78	
619.364	62.97	
619.716	61.72	
620.069	62.14	
620.421	62.19	
620.774	62.77	
621.126	63.62	
621.478	63.97	
621.831	63.11	
622.183	63.35	
622.535	63.35	
622.887	63.62	
623.239	62.76	
623.591	62.94	
623.943	63.73	
624.295	63.83	
624.647	61.9	
624.999	64.17	
625.351	63.48	
625.703	63.8	
626.055	62.85	
626.406	64.41	
626.758	63.43	
627.11	63.27	
627.461	62.73	
627.813	62.98	
628.164	63.62	
628.516	64.56	
628.867	63.44	
629.218	62.98	
629.57	63.61	
629.921	65.08	
630.272	66.23	
630.623	64.4	
630.975	64.64	
631.326	64.51	
631.677	65.52	
632.028	65.47	
632.379	65.31	
632.73	65.85	
633.08	65.53	
633.431	63.81	
633.782	64.95	
634.133	66.8	
634.484	65.06	
634.834	64.15	
635.185	65.6	
635.535	65.68	
635.886	64.77	
636.236	65.69	
636.587	64.75	
636.937	65.37	
637.287	66.36	
637.638	65.14	
637.988	64.54	
638.338	66.27	
638.688	65.96	
639.039	66.4	
639.389	66.23	
639.739	66.29	
640.089	65.74	
640.439	66.6	
640.788	65.26	
641.138	66.42	
641.488	67.41	
641.838	66.33	
642.188	65.91	
642.537	67.26	
642.887	67.4	
643.236	65.62	
643.586	65.58	
643.936	66.15	
644.285	66.25	
644.634	67.61	
644.984	68.29	
645.333	67.7	
645.682	66.72	
646.032	66.85	
646.381	65.88	
646.73	66.75	
647.079	67.08	
647.428	66.92	
647.777	67.77	
648.126	66.96	
648.475	66.94	
648.824	66.32	
649.173	66.96	
649.521	65.85	
649.87	66.12	
650.219	66.91	
650.567	68.09	
650.916	66.77	
651.265	68.23	
651.613	68.53	
651.962	67.05	
652.31	67.45	
652.658	68	
653.007	68.44	
653.355	67.85	
653.703	67.73	
654.052	68.56	
654.4	68.5	
654.748	68.6	
655.096	68.48	
655.444	68.78	
655.792	68.74	
656.14	68.21	
656.488	68.07	
656.836	68.22	
657.183	68.4	
657.531	67.97	
657.879	67.67	
658.226	67.83	
658.574	69.2	
658.922	66.87	
659.269	69.4	
659.617	68.76	
659.964	70.11	
660.311	68.21	
660.659	69.31	
661.006	67.85	
661.353	68.42	
661.701	68.44	
662.048	69.18	
662.395	69.93	
662.742	68.26	
663.089	67.81	
663.436	69.67	
663.783	68.14	
664.13	67.96	
664.477	69.96	
664.824	68.96	
665.17	69.33	
665.517	69.58	
665.864	69.2	
666.21	68.5	
666.557	69.64	
666.903	68.73	
667.25	69.38	
667.596	69.32	
667.943	71.38	
668.289	69.69	
668.635	70.42	
668.982	70.49	
669.328	68.94	
669.674	69.07	
670.02	69.24	
670.366	71.09	
670.712	71.15	
671.058	70.45	
671.404	69.42	
671.75	70.26	
672.096	70.22	
672.442	69.19	
672.788	70.83	
673.133	69.2	
673.479	70.05	
673.825	70.15	
674.17	71.15	
674.516	68.91	
674.861	69.87	
675.207	71.16	
675.552	70.07	
675.898	71.86	
676.243	69.31	
676.588	68.92	
676.933	71.21	
677.279	70.91	
677.624	70.83	
677.969	69.3	
678.314	70.99	
678.659	69.6	
679.004	69.5	
679.349	70.41	
679.694	71.11	
680.038	69.18	
680.383	70.92	
680.728	71.21	
681.073	69.67	
681.417	71.59	
681.762	70.69	
682.106	71.14	
682.451	71.47	
682.795	70.73	
683.14	71.46	
683.484	72.59	
683.828	71.72	
684.173	70.48	
684.517	70.03	
684.861	69.13	
685.205	71.71	
685.549	69.25	
685.893	70.51	
686.237	70.53	
686.581	71.08	
686.925	70.56	
687.269	69.79	
687.613	69.4	
687.957	71.17	
688.301	69.84	
688.644	71	
688.988	72.35	
689.331	70.63	
689.675	70.59	
690.018	71.72	
690.362	70.45	
690.705	70.37	
691.049	70.27	
691.392	71.91	
691.735	72.06	
692.079	72.21	
692.422	72.39	
692.765	71.52	
693.108	71.31	
693.451	72.5	
693.794	71.9	
694.137	72.09	
694.48	72.42	
694.823	71.96	
695.165	72.99	
695.508	70.64	
695.851	71.17	
696.194	72.75	
696.536	72.23	
696.879	74.59	
697.221	71.47	
697.564	71.62	
697.906	73.57	
698.249	74.34	
698.591	74	
698.933	74.27	
699.276	72.09	
699.618	72.01	
699.96	73.54	
700.302	71.79	
700.644	72.77	
700.986	75.04	
701.328	73.1	
701.67	72.83	
702.012	75.28	
702.354	73.84	
702.696	72.79	
703.038	73.72	
703.379	74.42	
703.721	72.62	
704.063	74.19	
704.404	73.2	
704.746	76.93	
705.087	74.02	
705.429	76.69	
705.77	75.18	
706.111	74.06	
706.453	72.58	
706.794	75.04	
707.135	75.53	
707.476	73.72	
707.817	74.94	
708.158	74.82	
708.5	74.1	
708.84	76.53	
709.181	75.75	
709.522	75.6	
709.863	78.38	
710.204	75.04	
710.545	76.97	
710.885	76.49	
711.226	75.26	
711.567	75.84	
711.907	78.01	
712.248	76.7	
712.588	76.07	
712.929	76.71	
713.269	77.67	
713.609	78.17	
713.95	79.22	
714.29	77.32	
714.63	74.67	
714.97	78.85	
715.31	76.75	
715.65	78.43	
715.99	78.32	
716.33	78.36	
716.67	79.22	
717.01	79.81	
717.35	77.13	
717.69	78.77	
718.029	80.1	
718.369	77.84	
718.709	79.12	
719.048	80.05	
719.388	79.78	
719.727	79.37	
720.067	76.3	
720.406	79.9	
