wavelength_nm,reflectance_au
620.56,0.39487
620.9,0.37405
621.24,0.35851
621.59,0.38988
621.93,0.40156
622.27,0.39752
622.62,0.38387
622.96,0.4131
623.3,0.38224
623.65,0.37699
623.99,0.38165
624.33,0.38579
624.68,0.39417
625.02,0.41289
625.36,0.40552
625.71,0.44528
626.05,0.4018
626.39,0.41319
626.74,0.42887
627.08,0.3965
627.42,0.39052
627.77,0.42439
628.11,0.41206
628.45,0.36311
628.79,0.40521
629.14,0.42733
629.48,0.4375
629.82,0.38833
630.17,0.41387
630.51,0.43431
630.85,0.4198
631.19,0.42424
631.54,0.42363
631.88,0.40325
632.22,0.41679
632.56,0.40876
632.91,0.4413
633.25,0.38774
633.59,0.39761
633.93,0.42439
634.27,0.39841
634.62,0.46053
634.96,0.43165
635.3,0.42456
635.64,0.41642
635.99,0.46206
636.33,0.41392
636.67,0.45652
637.01,0.42195
637.35,0.42992
637.69,0.47179
638.04,0.44844
638.38,0.43683
638.72,0.43961
639.06,0.47778
639.4,0.46372
639.75,0.42308
640.09,0.44253
640.43,0.44886
640.77,0.43889
641.11,0.48548
641.45,0.45576
641.79,0.46937
642.14,0.47701
642.48,0.51658
642.82,0.51136
643.16,0.46855
643.5,0.48118
643.84,0.47595
644.18,0.47595
644.52,0.45702
644.86,0.41817
645.21,0.52115
645.55,0.44728
645.89,0.49
646.23,0.51658
646.57,0.48864
646.91,0.4816
647.25,0.5267
647.59,0.47524
647.93,0.47551
648.27,0.51914
648.61,0.50316
648.95,0.51422
649.29,0.51166
649.63,0.5078
649.98,0.51246
650.32,0.51893
650.66,0.51648
651,0.51099
651.34,0.54419
651.68,0.50816
652.02,0.5092
652.36,0.53846
652.7,0.51117
653.04,0.49654
653.38,0.53565
653.72,0.58438
654.06,0.5625
654.4,0.53799
654.74,0.59481
655.08,0.59182
655.42,0.56389
655.76,0.56181
656.1,0.58764
656.44,0.61803
656.78,0.58989
657.12,0.57685
657.45,0.60526
657.79,0.59108
658.13,0.58442
658.47,0.58333
658.81,0.60899
659.15,0.63069
659.49,0.63027
659.83,0.60721
660.17,0.625
660.51,0.67123
660.85,0.63081
661.19,0.67036
661.53,0.58448
661.87,0.59823
662.2,0.6687
662.54,0.65711
662.88,0.64024
663.22,0.62475
663.56,0.71443
663.9,0.67308
664.24,0.61303
664.58,0.66354
664.92,0.6338
665.25,0.7185
665.59,0.70707
665.93,0.69286
666.27,0.64789
666.61,0.70284
666.95,0.71591
667.29,0.74438
667.62,0.75418
667.96,0.73984
668.3,0.71996
668.64,0.71116
668.98,0.70296
669.31,0.73493
669.65,0.75476
669.99,0.72979
670.33,0.78025
670.67,0.7244
671.01,0.75922
671.34,0.7478
671.68,0.78025
672.02,0.81718
672.36,0.79977
672.69,0.84031
673.03,0.82628
673.37,0.783
673.71,0.81305
674.05,0.81849
674.38,0.83333
674.72,0.83514
675.06,0.82444
675.4,0.8277
675.73,0.9223
676.07,0.87705
676.41,0.89344
676.74,0.90559
677.08,0.89931
677.42,0.89294
677.76,0.92891
678.09,0.88325
678.43,0.94617
678.77,0.93674
679.1,0.96377
679.44,0.91119
679.78,1.03293
680.12,0.91418
680.45,0.96734
680.79,0.95297
681.13,1
681.46,1
681.8,1
682.14,0.98034
682.47,0.97406
682.81,1
683.15,1.02184
683.48,1.06591
683.82,1.00991
684.16,1.02439
684.49,1.15046
684.83,1.1314
685.16,1.07449
685.5,1.14501
685.84,1.05324
686.17,1.11737
686.51,1.13626
686.84,1.13426
687.18,1.16392
687.52,1.18602
687.85,1.12698
688.19,1.15873
688.52,1.14009
688.86,1.1851
689.2,1.17692
689.53,1.21094
689.87,1.17692
690.2,1.25682
690.54,1.25222
690.87,1.22222
691.21,1.29157
691.55,1.2459
691.88,1.30733
692.22,1.38614
692.55,1.33209
692.89,1.3616
693.22,1.36607
693.56,1.44795
693.89,1.34836
694.23,1.32982
694.56,1.48873
694.9,1.41785
695.23,1.37879
695.57,1.44653
695.9,1.39398
696.24,1.45245
696.57,1.46809
696.91,1.44179
697.24,1.44495
697.58,1.48615
697.91,1.57609
698.25,1.54128
698.58,1.52591
698.92,1.59783
699.25,1.62581
699.59,1.5686
699.92,1.75
700.25,1.61538
700.59,1.56406
700.92,1.58991
701.26,1.68269
701.59,1.8157
701.93,1.69128
702.26,1.85154
702.59,1.62931
702.93,1.79828
703.26,1.81076
703.6,1.84146
703.93,1.84859
704.27,1.75
704.6,1.87986
704.93,1.80686
705.27,1.78777
705.6,1.85448
705.93,1.90075
706.27,1.86918
706.6,1.88267
706.94,1.92883
707.27,1.9794
707.6,2.04059
707.94,1.9927
708.27,1.96099
708.6,2.05216
708.94,2.09266
709.27,1.96429
709.6,2.0567
709.94,2.09532
710.27,1.93689
710.6,2.05333
710.94,2.09302
711.27,2.02344
711.6,2.05572
711.93,2.02462
712.27,2.12278
712.6,2.13889
712.93,2.07
713.27,2.16859
713.6,2.05139
713.93,2.13944
714.26,2.18994
714.6,2.24282
714.93,2.16236
715.26,2.24041
715.59,2.1875
715.93,2.2673
716.26,2.25701
716.59,2.21406
716.92,2.19318
717.26,2.26744
717.59,2.30201
717.92,2.40072
718.25,2.3795
718.59,2.51316
718.92,2.38
719.25,2.39544
719.58,2.47137
719.91,2.47628
720.25,2.41379
720.58,2.47628
720.91,2.52459
721.24,2.366
721.57,2.60294
721.91,2.59091
722.24,2.50213
722.57,2.71711
722.9,2.39787
723.23,2.46522
723.56,2.4697
723.89,2.77149
724.23,2.75
724.56,2.64953
724.89,2.5524
725.22,2.71525
725.55,2.72581
725.88,2.57974
726.21,2.6875
726.55,2.70386
726.88,2.76484
727.21,2.71018
727.54,2.84081
727.87,2.68432
728.2,2.9697
728.53,2.78166
728.86,2.73849
729.19,2.72857
729.52,2.96507
729.85,2.76613
730.19,2.8
730.52,2.69231
730.85,2.86498
731.18,2.73663
731.51,2.81458
731.84,2.92857
732.17,2.94057
732.5,2.8463
732.83,2.90244
733.16,2.73269
733.49,2.91667
733.82,2.86486
734.15,2.73913
734.48,2.87652
734.81,3.01931
735.14,2.95217
735.47,2.88514
735.8,3.06872
736.13,2.83649
736.46,3.11917
736.79,2.96701
737.12,3.00263
737.45,3.09043
737.78,2.99724
738.11,2.96739
738.44,3.0508
738.77,3.14205
739.1,3.11111
739.43,3.05769
739.76,2.87037
740.09,3.19231
740.42,2.93147
740.74,3.19892
741.07,2.96579
741.4,3.02957
741.73,3.03457
742.06,2.98691
742.39,3.19399
742.72,3.03209
743.05,3.01075
743.38,3.18182
743.71,3.11782
744.04,3.14157
744.36,3.12275
744.69,3.32166
745.02,3.16346
745.35,3.15217
745.68,3.07372
746.01,3.10855
746.34,3.17333
746.67,3.18836
746.99,3.08099
747.32,3.31579
747.65,3.23684
747.98,3.3694
748.31,3.17939
748.64,3.20611
748.96,3.4186
749.29,3.36742
749.62,3.23684
749.95,3.26838
750.28,3.01812
750.6,3.18421
750.93,3.18889
751.26,3.31298
751.59,3.14453
751.92,3.02273
752.24,3.44262
752.57,3.192
752.9,3.38034
753.23,2.90769
753.55,3.15289
753.88,3.11765
754.21,3.38034
754.54,3.40789
754.87,3.31416
755.19,3.30909
755.52,3.07391
755.85,3.13478
756.17,3.16981
756.5,3.5
