USB2G13063_1:101		Capture_1:201		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		
386.4	21.83	386.4	22.22	386.4	20.5	386.4	19	386.4	17.28	386.4	23.17	
386.766	19.83	386.766	22.22	386.766	19.5	386.766	27	386.766	17.28	386.766	23.17	
387.132	16.83	387.132	23.22	387.132	18.5	387.132	21	387.132	18.28	387.132	21.17	
387.498	22.83	387.498	21.22	387.498	23.5	387.498	23	387.498	22.28	387.498	18.17	
387.864	21.83	387.864	25.22	387.864	22.5	387.864	26	387.864	17.28	387.864	23.17	
388.229	20.83	388.229	19.22	388.229	19.5	388.229	22	388.229	22.28	388.229	20.17	
388.595	19.83	388.595	20.22	388.595	21.5	388.595	20	388.595	22.28	388.595	19.17	
388.961	22.83	388.961	18.22	388.961	23.5	388.961	20	388.961	17.28	388.961	19.17	
389.327	18.83	389.327	20.22	389.327	22.5	389.327	19	389.327	21.28	389.327	21.17	
389.692	20.83	389.692	24.22	389.692	21.5	389.692	22	389.692	24.28	389.692	22.17	
390.058	13.83	390.058	24.22	390.058	23.5	390.058	23	390.058	21.28	390.058	18.17	
390.424	17.83	390.424	20.22	390.424	17.5	390.424	22	390.424	22.28	390.424	23.17	
390.789	21.83	390.789	21.22	390.789	23.5	390.789	24	390.789	25.28	390.789	21.17	
391.155	19.83	391.155	26.22	391.155	19.5	391.155	23	391.155	26.28	391.155	24.17	
391.52	17.83	391.52	22.22	391.52	22.5	391.52	22	391.52	22.28	391.52	21.17	
391.886	21.83	391.886	21.22	391.886	26.5	391.886	24	391.886	22.28	391.886	25.17	
392.251	18.83	392.251	26.22	392.251	19.5	392.251	29	392.251	23.28	392.251	24.17	
392.617	17.83	392.617	28.22	392.617	20.5	392.617	24	392.617	22.28	392.617	19.17	
392.982	21.83	392.982	28.22	392.982	26.5	392.982	23	392.982	26.28	392.982	19.17	
393.348	21.83	393.348	28.22	393.348	24.5	393.348	29	393.348	25.28	393.348	19.17	
393.713	21.83	393.713	19.22	393.713	22.5	393.713	27	393.713	21.28	393.713	22.17	
394.078	23.83	394.078	17.22	394.078	21.5	394.078	26	394.078	23.28	394.078	20.17	
394.444	24.83	394.444	24.22	394.444	27.5	394.444	27	394.444	17.28	394.444	22.17	
394.809	23.83	394.809	20.22	394.809	26.5	394.809	20	394.809	24.28	394.809	21.17	
395.174	23.83	395.174	20.22	395.174	22.5	395.174	27	395.174	22.28	395.174	22.17	
395.539	24.83	395.539	24.22	395.539	23.5	395.539	24	395.539	26.28	395.539	26.17	
395.904	25.83	395.904	29.22	395.904	28.5	395.904	25	395.904	26.28	395.904	20.17	
396.27	22.83	396.27	22.22	396.27	22.5	396.27	23	396.27	28.28	396.27	25.17	
396.635	23.83	396.635	25.22	396.635	26.5	396.635	22	396.635	25.28	396.635	25.17	
397	24.83	397	25.22	397	31.5	397	26	397	26.28	397	26.17	
397.365	23.83	397.365	26.22	397.365	31.5	397.365	26	397.365	23.28	397.365	29.17	
397.73	23.83	397.73	25.22	397.73	27.5	397.73	32	397.73	27.28	397.73	29.17	
398.095	23.83	398.095	20.22	398.095	26.5	398.095	29	398.095	26.28	398.095	22.17	
398.46	26.83	398.46	25.22	398.46	25.5	398.46	26	398.46	28.28	398.46	27.17	
