USB2G13063_1:101		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		
393.713	17.11	393.713	21.5	393.713	18.11	393.713	19.28	393.713	22.5	
394.078	17.11	394.078	18.5	394.078	18.11	394.078	16.28	394.078	18.5	
394.444	15.11	394.444	19.5	394.444	23.11	394.444	19.28	394.444	21.5	
394.809	18.11	394.809	18.5	394.809	16.11	394.809	18.28	394.809	17.5	
395.174	17.11	395.174	20.5	395.174	18.11	395.174	16.28	395.174	19.5	
395.539	22.11	395.539	18.5	395.539	20.11	395.539	17.28	395.539	19.5	
395.904	21.11	395.904	20.5	395.904	17.11	395.904	15.28	395.904	21.5	
396.27	21.11	396.27	17.5	396.27	19.11	396.27	19.28	396.27	15.5	
396.635	17.11	396.635	19.5	396.635	22.11	396.635	15.28	396.635	20.5	
397	18.11	397	18.5	397	15.11	397	16.28	397	23.5	
397.365	17.11	397.365	15.5	397.365	14.11	397.365	20.28	397.365	15.5	
397.73	16.11	397.73	12.5	397.73	16.11	397.73	22.28	397.73	15.5	
398.095	19.11	398.095	20.5	398.095	19.11	398.095	19.28	398.095	20.5	
398.46	20.11	398.46	18.5	398.46	15.11	398.46	26.28	398.46	17.5	
398.825	17.11	398.825	18.5	398.825	18.11	398.825	19.28	398.825	20.5	
399.19	16.11	399.19	14.5	399.19	19.11	399.19	13.28	399.19	24.5	
399.555	18.11	399.555	18.5	399.555	19.11	399.555	20.28	399.555	22.5	
399.92	18.11	399.92	17.5	399.92	23.11	399.92	19.28	399.92	21.5	
400.284	16.11	400.284	18.5	400.284	17.11	400.284	17.28	400.284	22.5	
400.649	19.11	400.649	20.5	400.649	18.11	400.649	21.28	400.649	22.5	
401.014	20.11	401.014	21.5	401.014	17.11	401.014	21.28	401.014	18.5	
401.379	20.11	401.379	16.5	401.379	18.11	401.379	20.28	401.379	25.5	
401.743	14.11	401.743	19.5	401.743	14.11	401.743	21.28	401.743	17.5	
402.108	17.11	402.108	19.5	402.108	15.11	402.108	18.28	402.108	23.5	
402.473	20.11	402.473	18.5	402.473	22.11	402.473	21.28	402.473	21.5	
402.837	18.11	402.837	22.5	402.837	17.11	402.837	22.28	402.837	18.5	
403.202	16.11	403.202	16.5	403.202	18.11	403.202	19.28	403.202	18.5	
403.566	17.11	403.566	15.5	403.566	18.11	403.566	21.28	403.566	23.5	
403.931	16.11	403.931	16.5	403.931	16.11	403.931	23.28	403.931	20.5	
404.296	21.11	404.296	22.5	404.296	19.11	404.296	20.28	404.296	19.5	
404.66	18.11	404.66	22.5	404.66	18.11	404.66	22.28	404.66	23.5	
405.024	17.11	405.024	20.5	405.024	19.11	405.024	19.28	405.024	22.5	
405.389	23.11	405.389	13.5	405.389	20.11	405.389	18.28	405.389	20.5	
405.753	19.11	405.753	17.5	405.753	20.11	405.753	23.28	405.753	20.5	
406.118	13.11	406.118	12.5	406.118	19.11	406.118	18.28	406.118	20.5	
406.482	16.11	406.482	20.5	406.482	21.11	406.482	19.28	406.482	21.5	
406.846	22.11	406.846	19.5	406.846	15.11	406.846	20.28	406.846	19.5	
407.21	21.11	407.21	18.5	407.21	21.11	407.21	18.28	407.21	20.5	
407.575	18.11	407.575	16.5	407.575	16.11	407.575	21.28	407.575	20.5	
407.939	16.11	407.939	19.5	407.939	18.11	407.939	20.28	407.939	23.5	
408.303	19.11	408.303	21.5	408.303	24.11	408.303	26.28	408.303	20.5	
408.667	15.11	408.667	17.5	408.667	15.11	408.667	20.28	408.667	19.5	
409.031	20.11	409.031	16.5	409.031	19.11	409.031	19.28	409.031	22.5	
409.395	20.11	409.395	21.5	409.395	22.11	409.395	24.28	409.395	23.5	
409.759	14.11	409.759	16.5	409.759	23.11	409.759	17.28	409.759	20.5	
410.123	18.11	410.123	17.5	410.123	18.11	410.123	17.28	410.123	18.5	
410.487	17.11	410.487	18.5	410.487	20.11	410.487	24.28	410.487	22.5	
410.851	16.11	410.851	23.5	410.851	22.11	410.851	23.28	410.851	21.5	
411.215	18.11	411.215	19.5	411.215	19.11	411.215	17.28	411.215	19.5	
411.579	16.11	411.579	20.5	411.579	20.11	411.579	20.28	411.579	20.5	
411.943	14.11	411.943	19.5	411.943	25.11	411.943	17.28	411.943	16.5	
412.307	18.11	412.307	18.5	412.307	17.11	412.307	21.28	412.307	19.5	
412.671	19.11	412.671	16.5	412.671	16.11	412.671	22.28	412.671	23.5	
413.035	14.11	413.035	20.5	413.035	21.11	413.035	22.28	413.035	23.5	
413.398	18.11	413.398	21.5	413.398	16.11	413.398	22.28	413.398	25.5	
413.762	19.11	413.762	16.5	413.762	22.11	413.762	22.28	413.762	19.5	
414.126	14.11	414.126	19.5	414.126	18.11	414.126	23.28	414.126	23.5	
414.489	22.11	414.489	21.5	414.489	22.11	414.489	23.28	414.489	16.5	
414.853	20.11	414.853	19.5	414.853	19.11	414.853	19.28	414.853	21.5	
415.217	20.11	415.217	16.5	415.217	19.11	415.217	23.28	415.217	15.5	
415.58	21.11	415.58	15.5	415.58	15.11	415.58	18.28	415.58	20.5	
415.944	20.11	415.944	22.5	415.944	20.11	415.944	19.28	415.944	20.5	
416.307	21.11	416.307	18.5	416.307	21.11	416.307	26.28	416.307	21.5	
416.671	17.11	416.671	20.5	416.671	20.11	416.671	16.28	416.671	19.5	
417.034	19.11	417.034	18.5	417.034	22.11	417.034	22.28	417.034	14.5	
417.397	21.11	417.397	20.5	417.397	15.11	417.397	23.28	417.397	22.5	
417.761	23.11	417.761	24.5	417.761	27.11	417.761	24.28	417.761	21.5	
418.124	27.11	418.124	27.5	418.124	25.11	418.124	27.28	418.124	31.5	
418.488	44.11	418.488	43.5	418.488	38.11	418.488	41.28	418.488	38.5	
418.851	55.11	418.851	57.5	418.851	59.11	418.851	57.28	418.851	59.5	
419.214	66.11	419.214	74.5	419.214	66.11	419.214	78.28	419.214	74.5	
419.577	81.11	419.577	83.5	419.577	78.11	419.577	85.28	419.577	83.5	
419.941	83.11	419.941	86.5	419.941	80.11	419.941	93.28	419.941	90.5	
420.304	84.11	420.304	83.5	420.304	82.11	420.304	92.28	420.304	85.5	
420.667	98.11	420.667	94.5	420.667	87.11	420.667	96.28	420.667	90.5	
421.03	95.11	421.03	92.5	421.03	85.11	421.03	95.28	421.03	97.5	
