epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,14457.7,0.71298,0.08629,0.19773,0.9905,0.98091,0.99337,0.84866,0.67509,0.06113,0.1947,0.0004258,0.0004258,0.0004258
60,14702,0.70763,0.08481,0.19562,0.98839,0.98119,0.9936,0.8486,0.6753,0.06113,0.19472,0.0004159,0.0004159,0.0004159
61,14946.2,0.70162,0.08388,0.19539,0.98878,0.98119,0.99373,0.84788,0.67453,0.06089,0.19468,0.000406,0.000406,0.000406
62,15190.3,0.70132,0.08385,0.19599,0.99119,0.98119,0.99388,0.84929,0.67377,0.06051,0.19453,0.0003961,0.0003961,0.0003961
63,15434.6,0.69357,0.0827,0.1967,0.99168,0.98119,0.99399,0.85029,0.67418,0.06084,0.19497,0.0003862,0.0003862,0.0003862
64,15678.8,0.69308,0.08171,0.19598,0.99339,0.98119,0.99404,0.85104,0.67434,0.06051,0.19501,0.0003763,0.0003763,0.0003763
65,15923,0.69344,0.08218,0.19465,0.99309,0.98119,0.99406,0.85184,0.67414,0.06087,0.1948,0.0003664,0.0003664,0.0003664
66,16167.4,0.68812,0.08202,0.19321,0.99364,0.97976,0.99411,0.85194,0.67426,0.0609,0.19471,0.0003565,0.0003565,0.0003565
67,16411.7,0.68305,0.08176,0.19444,0.99507,0.98119,0.99415,0.85109,0.67464,0.06075,0.19454,0.0003466,0.0003466,0.0003466
68,16655.9,0.67774,0.08002,0.19525,0.99505,0.97962,0.99413,0.85127,0.67539,0.06075,0.19464,0.0003367,0.0003367,0.0003367
69,16900,0.67259,0.08034,0.19401,0.98897,0.98355,0.99413,0.85214,0.67467,0.06091,0.19484,0.0003268,0.0003268,0.0003268
70,17144.4,0.66838,0.07853,0.19301,0.99064,0.98433,0.99418,0.85197,0.67423,0.06108,0.19466,0.0003169,0.0003169,0.0003169
71,17388.4,0.67218,0.0791,0.19381,0.99136,0.98433,0.99419,0.85337,0.674,0.06078,0.19454,0.000307,0.000307,0.000307
72,17632.8,0.66494,0.07757,0.19283,0.99054,0.98457,0.99413,0.85302,0.67356,0.0604,0.19441,0.0002971,0.0002971,0.0002971
73,17877,0.66348,0.07768,0.19276,0.989,0.9862,0.99392,0.85401,0.67411,0.06049,0.19429,0.0002872,0.0002872,0.0002872
74,18121,0.65714,0.07656,0.19079,0.98898,0.98481,0.99396,0.8543,0.67475,0.06064,0.19414,0.0002773,0.0002773,0.0002773
75,18365,0.65228,0.07604,0.19233,0.99055,0.98549,0.99401,0.85244,0.67558,0.06046,0.19407,0.0002674,0.0002674,0.0002674
76,18609.2,0.64582,0.07522,0.19157,0.99055,0.98614,0.99399,0.85196,0.67648,0.06047,0.19414,0.0002575,0.0002575,0.0002575
77,18853.2,0.63971,0.07457,0.19005,0.99114,0.98589,0.99391,0.85166,0.67663,0.06042,0.19396,0.0002476,0.0002476,0.0002476
78,19097.3,0.64302,0.07463,0.19097,0.99099,0.98589,0.99387,0.85285,0.67719,0.06067,0.1939,0.0002377,0.0002377,0.0002377
79,19341.4,0.63852,0.07599,0.19114,0.99084,0.98589,0.99393,0.85184,0.67701,0.06004,0.19384,0.0002278,0.0002278,0.0002278
80,19585.4,0.63764,0.07336,0.19021,0.99082,0.98589,0.99401,0.8528,0.67743,0.05995,0.1937,0.0002179,0.0002179,0.0002179
81,19832.3,0.55958,0.05726,0.17682,0.99077,0.98589,0.99409,0.85151,0.67799,0.06019,0.19377,0.000208,0.000208,0.000208
82,20076.2,0.55333,0.05732,0.17654,0.99081,0.98589,0.99409,0.85128,0.67851,0.06039,0.1937,0.0001981,0.0001981,0.0001981
83,20319.9,0.54811,0.05736,0.17682,0.99213,0.98737,0.99411,0.8504,0.67936,0.06091,0.1937,0.0001882,0.0001882,0.0001882
84,20563.5,0.54028,0.0559,0.17695,0.99212,0.98656,0.99418,0.85169,0.67894,0.06085,0.19369,0.0001783,0.0001783,0.0001783
85,20807,0.53123,0.05462,0.17641,0.99212,0.9861,0.99418,0.85457,0.67802,0.06098,0.19373,0.0001684,0.0001684,0.0001684
86,21050.6,0.5372,0.05467,0.17694,0.9919,0.98746,0.9942,0.85353,0.67818,0.06123,0.19375,0.0001585,0.0001585,0.0001585
87,21294.2,0.5255,0.05379,0.17576,0.99212,0.98746,0.99421,0.8531,0.67782,0.06169,0.19411,0.0001486,0.0001486,0.0001486
88,21537.9,0.52333,0.05338,0.1751,0.9921,0.98589,0.9942,0.854,0.67717,0.06142,0.19445,0.0001387,0.0001387,0.0001387
89,21781.6,0.52641,0.05336,0.17645,0.99105,0.98589,0.99418,0.85454,0.67748,0.06132,0.19466,0.0001288,0.0001288,0.0001288
90,22025.2,0.51024,0.05159,0.17406,0.99209,0.9826,0.99417,0.8535,0.67899,0.06139,0.19478,0.0001189,0.0001189,0.0001189
91,22269,0.50288,0.05065,0.17344,0.99054,0.98429,0.99418,0.8543,0.67942,0.06118,0.19481,0.000109,0.000109,0.000109
92,22512.7,0.50462,0.05065,0.17342,0.98899,0.9857,0.99417,0.8543,0.68019,0.06117,0.19486,9.91e-05,9.91e-05,9.91e-05
93,22756.3,0.49209,0.05009,0.17328,0.99208,0.98171,0.99434,0.85418,0.68032,0.06097,0.19483,8.92e-05,8.92e-05,8.92e-05
94,23000,0.49458,0.05003,0.17363,0.99208,0.98222,0.99433,0.85466,0.68051,0.06078,0.19484,7.93e-05,7.93e-05,7.93e-05
95,23243.7,0.48756,0.0509,0.17276,0.98894,0.98589,0.99436,0.85445,0.68084,0.06082,0.19485,6.94e-05,6.94e-05,6.94e-05
96,23487.3,0.48031,0.0496,0.17332,0.98898,0.98507,0.99434,0.85329,0.68158,0.06091,0.19487,5.95e-05,5.95e-05,5.95e-05
97,23731,0.47143,0.04812,0.17195,0.98897,0.98589,0.99431,0.85317,0.68183,0.06057,0.19491,4.96e-05,4.96e-05,4.96e-05
98,23974.5,0.47409,0.04944,0.17255,0.99006,0.98433,0.99431,0.8533,0.68285,0.06057,0.195,3.97e-05,3.97e-05,3.97e-05
99,24218.2,0.46208,0.04737,0.17162,0.98917,0.98433,0.99428,0.85331,0.68348,0.06069,0.19495,2.98e-05,2.98e-05,2.98e-05
100,24461.8,0.46328,0.04868,0.17099,0.98898,0.98463,0.99429,0.85225,0.68384,0.06048,0.19495,1.99e-05,1.99e-05,1.99e-05
